Membership No  Date Joined  Active  
    63498      2020-12-4    no    
    55377      2020-1-24    no    
    89110      2016-3-15    no    
    35652      2017-10-25   no    
    76599      2020-9-25    no    
    83862      2018-7-16    no    
    97082      2016-12-10   no    
    94889      2020-8-10    no    
    16399      2017-3-8     no    
    24805      2019-8-16    no    
    81504      2019-4-22    no    
    85041      2018-1-6     no    
    78709      2019-6-2     no    
    61424      2017-4-8     no    
    35345      2016-1-13    no    
